Year,Round,SeedDiff,Team1,Team2,Team1Wins
2017,1,12,Wichita St.,Dayton,1
2017,1,28,Kentucky,Northern Kentucky,1
2017,0,15,Mount St. Mary's,New Orleans,1
2017,0,15,Kansas St.,Wake Forest,1
2017,0,15,UC Davis,North Carolina Central,1
2017,0,15,Southern California,Providence,1
2016,6,14,Villanova,North Carolina,1
2016,5,15,Villanova,Oklahoma,1
2016,5,24,North Carolina,Syracuse,1
2016,4,14,Oklahoma,Oregon,1
2016,4,14,Villanova,Kansas,1
2016,4,6,Syracuse,Virginia,1
2016,4,20,North Carolina,Notre Dame,1
2016,3,18,Oregon,Duke,1
2016,3,16,Oklahoma,Texas A&M,1
2016,3,18,Virginia,Iowa St.,1
2016,3,16,Syracuse,Gonzaga,1
2016,3,19,Kansas,Maryland,1
2016,3,16,Villanova,Miami (Fla.),1
2016,3,19,North Carolina,Indiana,1
2016,3,16,Notre Dame,Wisconsin,1
2016,2,23,Kansas,Connecticut,1
2016,2,23,Miami (Fla.),Wichita St.,1
2016,2,23,Duke,Yale,1
2016,2,23,North Carolina,Providence,1
2016,2,14,Indiana,Kentucky,1
2016,2,23,Virginia,Butler,1
2016,2,23,Iowa St.,Arkansas-Little Rock,1
2016,2,7,Gonzaga,Utah,1
2016,2,20,Villanova,Iowa,1
2016,2,23,Notre Dame,Stephen F. Austin,1
2016,2,23,Oklahoma,Virginia Commonwealth,1
2016,2,20,Syracuse,Middle Tennessee St.,1
2016,2,23,Maryland,Hawaii,1
2016,2,23,Texas A&M,Northern Iowa,1
2016,2,10,Wisconsin,Xavier,1
2016,2,22,Oregon,St. Joseph's,1
2016,1,28,Villanova,UNC Asheville,1
2016,1,18,Iowa,Temple,1
2016,1,26,Miami (Fla.),Buffalo,1
2016,1,6,Hawaii,California,1
2016,1,22,Maryland,South Dakota St.,1
2016,1,14,Connecticut,Colorado,1
2016,1,30,Kansas,Austin Peay,1
2016,1,28,Oklahoma,Cal St. Bakersfield,1
2016,1,12,Virginia Commonwealth,Oregon St.,1
2016,1,26,Texas A&M,Green Bay,1
2016,1,10,Northern Iowa,Texas,1
2016,1,24,Duke,UNC Wilmington,1
2016,1,8,Yale,Baylor,1
2016,1,16,St. Joseph's,Cincinnati,1
2016,1,28,Xavier,Weber St.,1
2016,1,18,Wisconsin,Pittsburgh,1
2016,1,4,Stephen F. Austin,West Virginia,1
2016,1,24,Kentucky,Stony Brook,1
2016,1,22,Indiana,Chattanooga,1
2016,1,14,Providence,Southern California,1
2016,1,30,North Carolina,Florida Gulf Coast,1
2016,1,30,Virginia,Hampton,1
2016,1,14,Butler,Texas Tech,1
2016,1,8,Arkansas-Little Rock,Purdue,1
2016,1,24,Iowa St.,Iona,1
2016,1,10,Gonzaga,Seton Hall,1
2016,1,26,Utah,Fresno St.,1
2016,1,12,Syracuse,Dayton,1
2016,1,2,Middle Tennessee St.,Michigan St.,1
2016,1,10,Wichita St.,Arizona,1
2016,1,30,Oregon,Holy Cross,1
2016,1,20,Notre Dame,Michigan,1
2016,0,15,Wichita St.,Vanderbilt,1
2016,0,15,Florida Gulf Coast,Fairleigh Dickinson,1
2016,0,15,Holy Cross,Southern,1
2016,0,15,Michigan,Tulsa,1
2015,6,15,Duke,Wisconsin,1
2015,5,15,Wisconsin,Kentucky,1
2015,5,21,Duke,Michigan St.,1
2015,4,16,Wisconsin,Arizona,1
2015,4,17,Kentucky,Notre Dame,1
2015,4,12,Michigan St.,Louisville,1
2015,4,16,Duke,Gonzaga,1
2015,3,24,Gonzaga,UCLA,1
2015,3,19,Kentucky,West Virginia,1
2015,3,19,Arizona,Xavier,1
2015,3,19,Louisville,North Carolina St.,1
2015,3,19,Duke,Utah,1
2015,3,18,Wisconsin,North Carolina,1
2015,3,19,Notre Dame,Wichita St.,1
2015,3,11,Michigan St.,Oklahoma,1
2015,2,18,Notre Dame,Butler,1
2015,2,18,UCLA,Alabama-Birmingham,1
2015,2,23,Xavier,Georgia St.,1
2015,2,23,Arizona,Ohio St.,1
2015,2,8,North Carolina St.,Villanova,1
2015,2,16,North Carolina,Arkansas,1
